molid,deltaz,inert,active,delBE_dft,delBE_alc
0_Ir-3_Au,1,0,3,-0.09836281,-0.098
3_Os-2_Hg,2,3,2,-0.01031835,-0.0184
0.3.6.7_Au-0.4.6.7_Ir,1,0:3:6:7,0:4:6:7,0.39525958,0.6532
0.6_Hg-3.4_Os,2,0:6,3:4,0.06625111,0.2794
0_Re-3_Tl,3,0,3,-0.32741382,-0.294
0.7_Os-6.7_Hg,2,0:7,6:7,-0.23030661,-0.1994
3_Au-3_Ir,1,3,3,0.01239752,0.0708
3.6.7_Tl-0.2.6_Re,3,3:6:7,0:2:6,0.6574711,1.8879
3.6_Tl-4.6_Re,3,3:6,4:6,-0.01112859,0.1476
0.2_Ir-2.4_Au,1,0:2,2:4,-0.03117402,-0.0458
6.7_Os-2.3_Hg,2,6:7,2:3,-0.2294084,-0.3616
0.7_Hg-0.4_Os,2,0:7,0:4,0.45198666,1.1662
3.6_Au-4.6_Ir,1,3:6,4:6,0.01630037,0.0492
0.6_Ir-2.7_Au,1,0:6,2:7,-0.08403661,-0.099
3.6_Os-2.3_Hg,2,3:6,2:3,-0.21126418,-0.2584
0.7_Ir-6.7_Au,1,0:7,6:7,-0.08574417,-0.0997
2.6_Au-0.7_Ir,1,2:6,0:7,0.32692646,0.5913
0.6_Tl-3.4_Re,3,0:6,3:4,0.00514190999999,0.4191
2.6.7_Ir-4.6.7_Au,1,2:6:7,4:6:7,-0.098146,-0.1311
2_Ir-7_Au,1,2,7,-0.05008397,-0.0303
2.6.7_Re-0.2.4_Tl,3,2:6:7,0:2:4,-1.60540989,-1.8936
0.3_Tl-4.6_Re,3,0:3,4:6,-0.08065918,0.0815999999999
2.3.6_Hg-0.4.6_Os,2,2:3:6,0:4:6,0.47395373,1.1558
3_Tl-0_Re,3,3,0,0.3959075,1.5354
2.6_Tl-0.7_Re,3,2:6,0:7,0.47236056,1.7739
